# UV luminosity at 1500 A for continuous SFR ; Z=0.01
# Source: Starburst99 — Leitherer et al. (1999) ; ApJS ; 123 ; 3
# DOI: 10.1086/313233
# Website: https://www.stsci.edu/science/starburst99/
# Columns: time_yr ; log_l1500 [erg/s/Hz] ; log_l1500_2 ; log_l1500_3
time_yr,log_l1500,log_l1500_2,log_l1500_3
32600000.0,40.412,39.768,40.285
32700000.0,40.412,39.768,40.285
32800000.0,40.412,39.769,40.285
32900000.0,40.413,39.77,40.286
33000000.0,40.413,39.77,40.286
33100000.0,40.413,39.771,40.287
33200000.0,40.414,39.772,40.287
33300000.0,40.414,39.772,40.287
33400000.0,40.414,39.773,40.288
33500000.0,40.414,39.773,40.288
33600000.0,40.415,39.774,40.289
33700000.0,40.415,39.775,40.289
33800000.0,40.415,39.775,40.289
33900000.0,40.415,39.776,40.29
34000000.0,40.416,39.777,40.29
34100000.0,40.416,39.777,40.291
34200000.0,40.416,39.778,40.291
34300000.0,40.416,39.779,40.291
34400000.0,40.417,39.779,40.292
34500000.0,40.417,39.78,40.292
34600000.0,40.417,39.78,40.293
34700000.0,40.417,39.781,40.293
34800000.0,40.418,39.782,40.293
34900000.0,40.418,39.782,40.294
35000000.0,40.418,39.783,40.294
35100000.0,40.418,39.783,40.294
35200000.0,40.419,39.784,40.295
35300000.0,40.419,39.785,40.295
35400000.0,40.419,39.785,40.296
35500000.0,40.419,39.786,40.296
35600000.0,40.42,39.787,40.296
35700000.0,40.42,39.787,40.297
35800000.0,40.42,39.788,40.297
35900000.0,40.42,39.788,40.297
36000000.0,40.421,39.789,40.298
36100000.0,40.421,39.789,40.298
36200000.0,40.421,39.79,40.299
36300000.0,40.421,39.791,40.299
36400000.0,40.421,39.791,40.299
36500000.0,40.422,39.792,40.3
36600000.0,40.422,39.792,40.3
36700000.0,40.422,39.793,40.3
36800000.0,40.422,39.794,40.301
36900000.0,40.423,39.794,40.301
37000000.0,40.423,39.795,40.301
37100000.0,40.423,39.795,40.302
37200000.0,40.423,39.796,40.302
37300000.0,40.424,39.796,40.302
37400000.0,40.424,39.797,40.303
37500000.0,40.424,39.797,40.303
37600000.0,40.424,39.798,40.303
37700000.0,40.424,39.799,40.304
37800000.0,40.425,39.799,40.304
37900000.0,40.425,39.8,40.304
38000000.0,40.425,39.8,40.305
38100000.0,40.425,39.801,40.305
38200000.0,40.425,39.801,40.305
38300000.0,40.426,39.802,40.306
38400000.0,40.426,39.802,40.306
38500000.0,40.426,39.803,40.306
38600000.0,40.426,39.803,40.307
38700000.0,40.427,39.804,40.307
38800000.0,40.427,39.804,40.307
38900000.0,40.427,39.805,40.308
39000000.0,40.427,39.806,40.308
39100000.0,40.427,39.806,40.308
39200000.0,40.428,39.807,40.309
39300000.0,40.428,39.807,40.309
39400000.0,40.428,39.808,40.309
39500000.0,40.428,39.808,40.309
39600000.0,40.428,39.809,40.31
39700000.0,40.429,39.809,40.31
39800000.0,40.429,39.81,40.31
39900000.0,40.429,39.81,40.311
40000000.0,40.429,39.811,40.311
40100000.0,40.429,39.811,40.311
40200000.0,40.43,39.812,40.312
40300000.0,40.43,39.812,40.312
40400000.0,40.43,39.813,40.312
40500000.0,40.43,39.813,40.313
40600000.0,40.43,39.814,40.313
40700000.0,40.431,39.814,40.313
40800000.0,40.431,39.815,40.313
40900000.0,40.431,39.815,40.314
41000000.0,40.431,39.816,40.314
41100000.0,40.431,39.816,40.314
41200000.0,40.432,39.817,40.315
41300000.0,40.432,39.817,40.315
41400000.0,40.432,39.818,40.315
41500000.0,40.432,39.818,40.316
41600000.0,40.432,39.819,40.316
41700000.0,40.433,39.819,40.316
41800000.0,40.433,39.82,40.316
41900000.0,40.433,39.82,40.317
42000000.0,40.433,39.821,40.317
42100000.0,40.433,39.821,40.317
42200000.0,40.434,39.822,40.318
42300000.0,40.434,39.822,40.318
42400000.0,40.434,39.823,40.318
42500000.0,40.434,39.823,40.318
42600000.0,40.434,39.824,40.319
42700000.0,40.435,39.824,40.319
42800000.0,40.435,39.825,40.319
42900000.0,40.435,39.825,40.32
43000000.0,40.435,39.826,40.32
43100000.0,40.435,39.826,40.32
43200000.0,40.435,39.827,40.32
43300000.0,40.436,39.827,40.321
43400000.0,40.436,39.828,40.321
43500000.0,40.436,39.828,40.321
43600000.0,40.436,39.829,40.322
43700000.0,40.436,39.829,40.322
43800000.0,40.437,39.829,40.322
43900000.0,40.437,39.83,40.322
44000000.0,40.437,39.83,40.323
44100000.0,40.437,39.831,40.323
44200000.0,40.437,39.831,40.323
44300000.0,40.437,39.832,40.323
44400000.0,40.438,39.832,40.324
44500000.0,40.438,39.833,40.324
44600000.0,40.438,39.833,40.324
44700000.0,40.438,39.834,40.324
44800000.0,40.438,39.834,40.325
44900000.0,40.439,39.834,40.325
45000000.0,40.439,39.835,40.325
45100000.0,40.439,39.835,40.325
45200000.0,40.439,39.836,40.326
45300000.0,40.439,39.836,40.326
45400000.0,40.439,39.837,40.326
45500000.0,40.44,39.837,40.326
45600000.0,40.44,39.837,40.327
45700000.0,40.44,39.838,40.327
45800000.0,40.44,39.838,40.327
45900000.0,40.44,39.839,40.327
46000000.0,40.44,39.839,40.328
46100000.0,40.441,39.84,40.328
46200000.0,40.441,39.84,40.328
46300000.0,40.441,39.841,40.328
46400000.0,40.441,39.841,40.329
46500000.0,40.441,39.841,40.329
46600000.0,40.441,39.842,40.329
46700000.0,40.442,39.842,40.329
46800000.0,40.442,39.843,40.33
46900000.0,40.442,39.843,40.33
47000000.0,40.442,39.843,40.33
47100000.0,40.442,39.844,40.33
47200000.0,40.442,39.844,40.331
47300000.0,40.442,39.845,40.331
47400000.0,40.443,39.845,40.331
47500000.0,40.443,39.846,40.331
47600000.0,40.443,39.846,40.332
47700000.0,40.443,39.846,40.332
47800000.0,40.443,39.847,40.332
47900000.0,40.443,39.847,40.332
48000000.0,40.444,39.848,40.333
48100000.0,40.444,39.848,40.333
48200000.0,40.444,39.848,40.333
48300000.0,40.444,39.849,40.333
48400000.0,40.444,39.849,40.333
48500000.0,40.444,39.85,40.334
48600000.0,40.445,39.85,40.334
48700000.0,40.445,39.851,40.334
48800000.0,40.445,39.851,40.334
48900000.0,40.445,39.851,40.335
49000000.0,40.445,39.852,40.335
49100000.0,40.445,39.852,40.335
49200000.0,40.445,39.853,40.335
49300000.0,40.446,39.853,40.336
49400000.0,40.446,39.853,40.336
49500000.0,40.446,39.854,40.336
49600000.0,40.446,39.854,40.336
49700000.0,40.446,39.855,40.336
49800000.0,40.446,39.855,40.337
