lambda,albedo,<cos>,C_ext/H,K_abs,<cos^2>
2.400e+02,0.000e+00,-3.000e-04,9.410e-26,6.730e+00,4.000e-01
2.340e+02,0.000e+00,-3.000e-04,9.860e-26,7.050e+00,4.000e-01
2.290e+02,0.000e+00,-3.000e-04,1.030e-25,7.380e+00,4.000e-01
2.240e+02,0.000e+00,-4.000e-04,1.080e-25,7.740e+00,4.000e-01
2.190e+02,0.000e+00,-4.000e-04,1.130e-25,8.110e+00,4.000e-01
2.140e+02,0.000e+00,-4.000e-04,1.190e-25,8.500e+00,4.000e-01
2.090e+02,0.000e+00,-4.000e-04,1.250e-25,8.910e+00,4.000e-01
2.040e+02,0.000e+00,-4.000e-04,1.310e-25,9.340e+00,4.000e-01
2.000e+02,0.000e+00,-5.000e-04,1.370e-25,9.790e+00,4.000e-01
1.950e+02,0.000e+00,-5.000e-04,1.440e-25,1.030e+01,4.000e-01
1.910e+02,0.000e+00,-5.000e-04,1.510e-25,1.080e+01,4.000e-01
1.860e+02,0.000e+00,-5.000e-04,1.580e-25,1.130e+01,4.000e-01
1.820e+02,0.000e+00,-5.000e-04,1.660e-25,1.180e+01,4.000e-01
1.780e+02,0.000e+00,-6.000e-04,1.740e-25,1.240e+01,4.000e-01
1.740e+02,0.000e+00,-6.000e-04,1.820e-25,1.300e+01,4.000e-01
1.700e+02,0.000e+00,-6.000e-04,1.910e-25,1.370e+01,4.000e-01
1.660e+02,0.000e+00,-6.000e-04,2.010e-25,1.440e+01,4.000e-01
1.620e+02,0.000e+00,-6.000e-04,2.110e-25,1.510e+01,4.000e-01
1.580e+02,0.000e+00,-5.000e-04,2.220e-25,1.590e+01,4.000e-01
1.560e+02,0.000e+00,-5.000e-04,2.300e-25,1.640e+01,4.000e-01
1.550e+02,0.000e+00,-5.000e-04,2.330e-25,1.670e+01,4.000e-01
1.510e+02,0.000e+00,-5.000e-04,2.460e-25,1.760e+01,4.000e-01
1.480e+02,0.000e+00,-4.000e-04,2.590e-25,1.850e+01,4.000e-01
1.450e+02,0.000e+00,-3.000e-04,2.730e-25,1.950e+01,4.000e-01
1.410e+02,0.000e+00,-2.000e-04,2.880e-25,2.060e+01,4.000e-01
1.380e+02,0.000e+00,-1.000e-04,3.030e-25,2.170e+01,4.000e-01
1.350e+02,0.000e+00,1.000e-04,3.170e-25,2.270e+01,4.000e-01
1.320e+02,0.000e+00,2.000e-04,3.300e-25,2.360e+01,4.000e-01
1.290e+02,0.000e+00,5.000e-04,3.440e-25,2.460e+01,4.000e-01
1.260e+02,0.000e+00,7.000e-04,3.590e-25,2.560e+01,4.000e-01
1.230e+02,0.000e+00,1.000e-03,3.740e-25,2.680e+01,4.000e-01
1.200e+02,0.000e+00,1.300e-03,3.910e-25,2.800e+01,4.000e-01
1.170e+02,0.000e+00,1.600e-03,4.090e-25,2.930e+01,4.000e-01
1.150e+02,0.000e+00,2.000e-03,4.290e-25,3.070e+01,4.000e-01
1.120e+02,0.000e+00,2.500e-03,4.500e-25,3.210e+01,4.000e-01
1.100e+02,0.000e+00,2.900e-03,4.710e-25,3.370e+01,4.000e-01
1.070e+02,0.000e+00,3.400e-03,4.950e-25,3.540e+01,4.000e-01
1.050e+02,0.000e+00,3.900e-03,5.190e-25,3.710e+01,4.000e-01
1.020e+02,0.000e+00,4.400e-03,5.450e-25,3.900e+01,4.000e-01
1.000e+02,0.000e+00,4.800e-03,5.730e-25,4.100e+01,4.000e-01
9.770e+01,0.000e+00,5.300e-03,6.020e-25,4.300e+01,4.000e-01
9.550e+01,0.000e+00,5.700e-03,6.320e-25,4.520e+01,4.000e-01
9.330e+01,0.000e+00,6.200e-03,6.640e-25,4.750e+01,4.000e-01
9.120e+01,0.000e+00,6.600e-03,6.980e-25,4.990e+01,4.000e-01
8.910e+01,0.000e+00,7.100e-03,7.340e-25,5.250e+01,4.000e-01
8.710e+01,0.000e+00,7.500e-03,7.720e-25,5.520e+01,4.000e-01
8.510e+01,0.000e+00,7.800e-03,8.110e-25,5.800e+01,4.000e-01
8.320e+01,0.000e+00,8.000e-03,8.530e-25,6.100e+01,4.000e-01
8.130e+01,0.000e+00,8.100e-03,8.980e-25,6.420e+01,4.000e-01
7.940e+01,0.000e+00,8.100e-03,9.440e-25,6.750e+01,4.000e-01
7.760e+01,0.000e+00,8.000e-03,9.940e-25,7.110e+01,4.000e-01
7.590e+01,0.000e+00,7.800e-03,1.050e-24,7.480e+01,4.000e-01
7.410e+01,0.000e+00,7.500e-03,1.100e-24,7.870e+01,4.000e-01
7.240e+01,0.000e+00,7.100e-03,1.160e-24,8.270e+01,4.000e-01
7.140e+01,0.000e+00,6.700e-03,1.190e-24,8.540e+01,4.000e-01
7.080e+01,0.000e+00,6.500e-03,1.220e-24,8.700e+01,4.000e-01
6.920e+01,0.000e+00,5.900e-03,1.280e-24,9.160e+01,4.000e-01
6.760e+01,1.000e-04,5.200e-03,1.350e-24,9.630e+01,4.000e-01
6.610e+01,1.000e-04,4.300e-03,1.420e-24,1.010e+02,4.000e-01
6.460e+01,1.000e-04,3.400e-03,1.490e-24,1.070e+02,4.000e-01
6.310e+01,1.000e-04,2.300e-03,1.570e-24,1.120e+02,4.000e-01
6.170e+01,1.000e-04,1.200e-03,1.650e-24,1.180e+02,4.000e-01
6.030e+01,1.000e-04,1.000e-04,1.730e-24,1.240e+02,4.000e-01
5.890e+01,1.000e-04,-1.200e-03,1.820e-24,1.300e+02,4.000e-01
5.750e+01,1.000e-04,-2.500e-03,1.920e-24,1.370e+02,4.000e-01
5.620e+01,1.000e-04,-3.800e-03,2.020e-24,1.440e+02,4.000e-01
5.500e+01,1.000e-04,-5.100e-03,2.120e-24,1.520e+02,4.000e-01
5.370e+01,1.000e-04,-6.400e-03,2.230e-24,1.590e+02,4.000e-01
5.250e+01,1.000e-04,-7.700e-03,2.340e-24,1.670e+02,4.000e-01
5.130e+01,1.000e-04,-9.000e-03,2.460e-24,1.760e+02,4.000e-01
5.010e+01,1.000e-04,-1.030e-02,2.580e-24,1.850e+02,4.000e-01
4.900e+01,1.000e-04,-1.140e-02,2.710e-24,1.940e+02,4.000e-01
4.790e+01,1.000e-04,-1.240e-02,2.850e-24,2.040e+02,4.000e-01
4.680e+01,1.000e-04,-1.330e-02,2.990e-24,2.140e+02,4.000e-01
4.570e+01,1.000e-04,-1.410e-02,3.140e-24,2.240e+02,4.000e-01
4.470e+01,1.000e-04,-1.480e-02,3.290e-24,2.360e+02,4.000e-01
4.370e+01,1.000e-04,-1.540e-02,3.460e-24,2.470e+02,4.000e-01
