time_yr,log_snr,log_snr_2,log_snr_3
352410020.0,-30.0,-30.0,-30.0
352510020.0,-30.0,-30.0,-30.0
352610020.0,-30.0,-30.0,-30.0
352710020.0,-30.0,-30.0,-30.0
352810020.0,-30.0,-30.0,-30.0
352910020.0,-30.0,-30.0,-30.0
353010020.0,-30.0,-30.0,-30.0
353110020.0,-30.0,-30.0,-30.0
353210020.0,-30.0,-30.0,-30.0
353310020.0,-30.0,-30.0,-30.0
353410020.0,-30.0,-30.0,-30.0
353510020.0,-30.0,-30.0,-30.0
353610020.0,-30.0,-30.0,-30.0
353710020.0,-30.0,-30.0,-30.0
353810020.0,-30.0,-30.0,-30.0
353910020.0,-30.0,-30.0,-30.0
354010020.0,-30.0,-30.0,-30.0
354110020.0,-30.0,-30.0,-30.0
354210020.0,-30.0,-30.0,-30.0
354310020.0,-30.0,-30.0,-30.0
354410020.0,-30.0,-30.0,-30.0
354510020.0,-30.0,-30.0,-30.0
354610020.0,-30.0,-30.0,-30.0
354710020.0,-30.0,-30.0,-30.0
354810020.0,-30.0,-30.0,-30.0
354910020.0,-30.0,-30.0,-30.0
355010020.0,-30.0,-30.0,-30.0
355110020.0,-30.0,-30.0,-30.0
355210020.0,-30.0,-30.0,-30.0
355310020.0,-30.0,-30.0,-30.0
355410020.0,-30.0,-30.0,-30.0
355510020.0,-30.0,-30.0,-30.0
355610020.0,-30.0,-30.0,-30.0
355710020.0,-30.0,-30.0,-30.0
355810020.0,-30.0,-30.0,-30.0
355910020.0,-30.0,-30.0,-30.0
356010020.0,-30.0,-30.0,-30.0
356110020.0,-30.0,-30.0,-30.0
356210020.0,-30.0,-30.0,-30.0
356310020.0,-30.0,-30.0,-30.0
356410020.0,-30.0,-30.0,-30.0
356510020.0,-30.0,-30.0,-30.0
356610020.0,-30.0,-30.0,-30.0
356710020.0,-30.0,-30.0,-30.0
356810020.0,-30.0,-30.0,-30.0
356910020.0,-30.0,-30.0,-30.0
357010020.0,-30.0,-30.0,-30.0
357110020.0,-30.0,-30.0,-30.0
357210020.0,-30.0,-30.0,-30.0
357310020.0,-30.0,-30.0,-30.0
357410020.0,-30.0,-30.0,-30.0
357510020.0,-30.0,-30.0,-30.0
357610020.0,-30.0,-30.0,-30.0
357710020.0,-30.0,-30.0,-30.0
357810020.0,-30.0,-30.0,-30.0
357910020.0,-30.0,-30.0,-30.0
358010020.0,-30.0,-30.0,-30.0
358110020.0,-30.0,-30.0,-30.0
358210020.0,-30.0,-30.0,-30.0
358310020.0,-30.0,-30.0,-30.0
358410020.0,-30.0,-30.0,-30.0
358510020.0,-30.0,-30.0,-30.0
358610020.0,-30.0,-30.0,-30.0
358710020.0,-30.0,-30.0,-30.0
358810020.0,-30.0,-30.0,-30.0
358910020.0,-30.0,-30.0,-30.0
359010020.0,-30.0,-30.0,-30.0
359110020.0,-30.0,-30.0,-30.0
359210020.0,-30.0,-30.0,-30.0
359310020.0,-30.0,-30.0,-30.0
359410020.0,-30.0,-30.0,-30.0
359510020.0,-30.0,-30.0,-30.0
359610020.0,-30.0,-30.0,-30.0
359710020.0,-30.0,-30.0,-30.0
359810020.0,-30.0,-30.0,-30.0
359910020.0,-30.0,-30.0,-30.0
360010020.0,-30.0,-30.0,-30.0
360110020.0,-30.0,-30.0,-30.0
360210020.0,-30.0,-30.0,-30.0
360310020.0,-30.0,-30.0,-30.0
360410020.0,-30.0,-30.0,-30.0
360510020.0,-30.0,-30.0,-30.0
360610020.0,-30.0,-30.0,-30.0
360710020.0,-30.0,-30.0,-30.0
360810020.0,-30.0,-30.0,-30.0
360910020.0,-30.0,-30.0,-30.0
361010020.0,-30.0,-30.0,-30.0
361110020.0,-30.0,-30.0,-30.0
361210020.0,-30.0,-30.0,-30.0
361310020.0,-30.0,-30.0,-30.0
361410020.0,-30.0,-30.0,-30.0
361510020.0,-30.0,-30.0,-30.0
361610020.0,-30.0,-30.0,-30.0
361710020.0,-30.0,-30.0,-30.0
361810020.0,-30.0,-30.0,-30.0
361910020.0,-30.0,-30.0,-30.0
362010020.0,-30.0,-30.0,-30.0
362110020.0,-30.0,-30.0,-30.0
362210020.0,-30.0,-30.0,-30.0
362310020.0,-30.0,-30.0,-30.0
362410020.0,-30.0,-30.0,-30.0
362510020.0,-30.0,-30.0,-30.0
