# wavelength_obs(um)  flux_med(uJy)  flux_low(uJy)  flux_high(uJy)
2.475459e+03 1.827246e+00 1.520682e+00 2.023115e+00
2.481639e+03 1.809819e+00 1.506122e+00 2.003945e+00
2.487820e+03 1.792598e+00 1.491735e+00 1.985000e+00
2.494000e+03 1.775579e+00 1.477517e+00 1.966275e+00
2.500181e+03 1.758760e+00 1.463467e+00 1.947767e+00
2.506361e+03 1.742137e+00 1.449582e+00 1.929475e+00
2.512541e+03 1.725709e+00 1.435860e+00 1.911394e+00
2.518722e+03 1.709471e+00 1.422298e+00 1.893522e+00
2.524902e+03 1.693422e+00 1.408894e+00 1.875856e+00
2.531083e+03 1.677559e+00 1.395647e+00 1.858394e+00
2.537263e+03 1.661880e+00 1.382553e+00 1.841132e+00
2.543443e+03 1.646382e+00 1.369612e+00 1.824067e+00
2.549624e+03 1.631062e+00 1.356820e+00 1.807198e+00
2.555804e+03 1.615918e+00 1.344175e+00 1.790521e+00
2.561985e+03 1.600948e+00 1.331677e+00 1.774034e+00
2.568165e+03 1.586149e+00 1.319321e+00 1.757734e+00
2.574346e+03 1.571519e+00 1.307108e+00 1.741618e+00
2.580526e+03 1.557055e+00 1.295034e+00 1.725685e+00
2.586706e+03 1.542756e+00 1.283099e+00 1.709932e+00
2.592887e+03 1.528620e+00 1.271299e+00 1.694356e+00
2.599067e+03 1.514643e+00 1.259633e+00 1.678955e+00
2.605248e+03 1.500824e+00 1.248100e+00 1.663727e+00
2.611428e+03 1.487161e+00 1.236697e+00 1.648670e+00
2.617608e+03 1.473651e+00 1.225423e+00 1.633780e+00
2.623789e+03 1.460294e+00 1.214276e+00 1.619056e+00
2.629969e+03 1.447085e+00 1.203255e+00 1.604496e+00
2.636150e+03 1.434025e+00 1.192357e+00 1.590098e+00
2.642330e+03 1.421110e+00 1.181581e+00 1.575859e+00
2.648511e+03 1.408339e+00 1.170926e+00 1.561778e+00
2.654691e+03 1.395709e+00 1.160389e+00 1.547851e+00
2.660871e+03 1.383220e+00 1.149970e+00 1.534078e+00
2.667052e+03 1.370868e+00 1.139667e+00 1.520456e+00
2.673232e+03 1.358653e+00 1.129477e+00 1.506984e+00
2.679413e+03 1.346573e+00 1.119400e+00 1.493659e+00
2.685593e+03 1.334625e+00 1.109435e+00 1.480479e+00
2.691773e+03 1.322808e+00 1.099579e+00 1.467443e+00
2.697954e+03 1.311121e+00 1.089832e+00 1.454549e+00
2.704134e+03 1.299561e+00 1.080191e+00 1.441794e+00
2.710315e+03 1.288127e+00 1.070656e+00 1.429178e+00
